ID,INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,CRIME_TYPE,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,UOR_DESC,LEOKA_APPLIES,OFFICER_KILLED,TYPE_OF_ASSIGNMENT,TYPE_OF_ACTIVITY,OFFENSE_CITY,OFFENSE_ZIP
1,80-10-000031,1/1/2010 1:42,1/1/2010 1:42,ASSAULT,13B,PART II,COMPLETED,7TH DIVISION,724,RESIDENCE / HOME,9900 BLOCK MCCREA LN                                        ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40229
2,80-10-001512,1/7/2010 19:43,1/7/2010 19:43,ASSAULT,13B,PART II,COMPLETED,4TH DIVISION,435,SERVICE / GAS STATION,GAGEL AVE / MANSLICK RD                                     ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,"OTHER ALONE (FOOT, OFF DUTY, ECT)",ALL OTHER,LOUISVILLE,40216
3,80-10-001042,1/5/2010 21:45,1/5/2010 21:45,ASSAULT,13A,PART I,COMPLETED,1ST DIVISION,112,OTHER RESIDENCE (APARTMENT/CONDO),2900 BLOCK W MADISON ST                                     ,WANTON ENDANGERMENT-1ST DEGREE,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40211
4,80-10-002435,1/8/2010 3:00,1/8/2010 2:03,ASSAULT,13C,PART II,COMPLETED,2ND DIVISION,212,HIGHWAY / ROAD / ALLEY,KAISER CT / VIRGINIA AVE                                    ,MENACING,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40211
5,80-10-003089,1/13/2010 21:57,1/13/2010 21:57,ASSAULT,13C,PART II,COMPLETED,4TH DIVISION,412,HIGHWAY / ROAD / ALLEY,E BRECKINRIDGE ST  / S PRESTON ST                           ,MENACING,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE,LOUISVILLE,40203
6,80-10-006319,1/26/2010 16:15,1/26/2010 16:15,ASSAULT,13B,PART II,COMPLETED,4TH DIVISION,436,HIGHWAY / ROAD / ALLEY,S 3RD ST / ASHBURY RD                                       ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE,LOUISVILLE,40214
7,80-10-003543,1/15/2010 15:44,1/15/2010 15:44,ASSAULT,13C,PART II,COMPLETED,1ST DIVISION,123,OTHER / UNKNOWN,S 12TH ST / CEDAR CT                                        ,TERRORISTIC THREATENING 3RD DEGREE,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE,LOUISVILLE,40203
8,80-10-003543,1/15/2010 15:44,1/15/2010 15:44,ASSAULT,13C,PART II,COMPLETED,1ST DIVISION,123,OTHER / UNKNOWN,S 12TH ST / CEDAR CT                                        ,TERRORISTIC THREATENING 3RD DEGREE,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE,LOUISVILLE,40203
9,80-10-007055,1/25/2010 20:07,1/25/2010 20:07,ASSAULT,13C,PART II,COMPLETED,6TH DIVISION,625,JAIL / PENITENTARY,3100 BLOCK PARK CHURCH LN                                   ,MENACING,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),"HANDLING, TRANSPORTING, CUSTODY OF PRISONERS",LOUISVILLE,40220
10,80-10-007055,1/25/2010 20:07,1/25/2010 20:07,ASSAULT,13C,PART II,COMPLETED,6TH DIVISION,625,JAIL / PENITENTARY,3100 BLOCK PARK CHURCH LN                                   ,MENACING,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),"HANDLING, TRANSPORTING, CUSTODY OF PRISONERS",LOUISVILLE,40220
