INCIDENT_NUMBER,DATE_OCCURED,UOR_DESC,PREMISE_TYPE,OFFICER_ATTACKED
80-18-101412,12/29/2018,ENDANGERING THE WELFARE OF A MINOR,HIGHWAY / ROAD / ALLEY,0
80-18-101737,12/30/2018,WANTON ENDANGERMENT-2ND DEGREE,HIGHWAY / ROAD / ALLEY,0
80-18-990001,10/19/2018,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-19-000003,1/1/2019,ASSAULT - 1ST DEGREE,RESIDENCE / HOME,0
80-19-000004,1/1/2019,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-19-000006,12/31/2018,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),RESIDENCE / HOME,0
80-19-000011,1/1/2019,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-19-000012,1/1/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,RESIDENCE / HOME,0
80-19-000021,1/1/2019,WANTON ENDANGERMENT-1ST DEGREE,HIGHWAY / ROAD / ALLEY,1
80-19-000023,1/1/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-000027,1/1/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-000028,1/1/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),BAR / NIGHT CLUB,0
80-19-000029,1/1/2019,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-19-000031,1/1/2019,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,HIGHWAY / ROAD / ALLEY,1
80-19-000037,1/1/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,RESIDENCE / HOME,0
80-19-000039,1/1/2019,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-19-000042,1/1/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,HIGHWAY / ROAD / ALLEY,0
80-19-000045,1/1/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-000049,1/1/2019,VIOLATION OF KENTUCKY EPO/DVO,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-000051,1/1/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-000052,1/1/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,RESIDENCE / HOME,0
80-19-000055,1/1/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),RESIDENCE / HOME,0
80-19-000059,1/1/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-000061,1/1/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-000062,1/1/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-000069,1/1/2019,HARASSMENT (NO PHYSICAL CONTACT),RESIDENCE / HOME,0
80-19-000074,1/1/2019,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
